"nomination-db-card__name","nomination-db-card__name href","nomination-db-card__name href 2","nomination-db-card__nominee__label","nomination-db-card__award","nomination-db-card__award-film","nomination-db-card__award-film href","nomination-db-card__results 2","nomination-db-card__total-awards 3","nomination-db-card__results 3","nomination-db-card__results href","nomination-db-card__total-awards 4","nomination-db-card__results 4","nomination-db-card__results href 2","nomination-db-card__results 5","nomination-db-card__results href 3","nomination-db-card__results 6","nomination-db-card__results href 4","nomination-db-card__total-awards 5","nomination-db-card__results 7","nomination-db-card__results href 5","nomination-db-card__results 8","nomination-db-card__results href 6","nomination-db-card__results 9","nomination-db-card__results href 7"
"Lesley Manville","https://www.goldenglobes.com/person/lesley-manville","https://www.goldenglobes.com/person/lesley-manville","Nominee","Best Actress - Motion Picture - Musical/Comedy","- Mrs. Harris Goes to Paris","https://www.goldenglobes.com/film/mrs-harris-goes-paris","1 Nomination","","","","","","","","","","","","","","","","",""
"RRR","","https://www.goldenglobes.com/film/rrr","Nominee","Best Picture - Non-English Language (formerly Foreign Language)","- RRR","","2 Nominations, 1 Win","Music Score","M.M. Keeravaani","https://www.goldenglobes.com/person/mm-keeravaani","Lyrics","Chandrabose","https://www.goldenglobes.com/person/chandrabose","","","","","","","","","","",""
"Ke Huy Quan","https://www.goldenglobes.com/person/ke-huy-quan","https://www.goldenglobes.com/person/ke-huy-quan","Winner","Best Supporting Actor - Motion Picture","- Everything Everywhere All at Once","https://www.goldenglobes.com/film/everything-everywhere-all-once","1 Nomination, 1 Win","Director","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Writer","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Cast","Michelle Yeoh,","https://www.goldenglobes.com/person/michelle-yeoh","Ke Huy Quan,","https://www.goldenglobes.com/person/ke-huy-quan","Jamie Lee Curtis,","https://www.goldenglobes.com/person/jamie-lee-curtis"
"Decision to Leave","","https://www.goldenglobes.com/film/decision-leave","Nominee","Best Picture - Non-English Language (formerly Foreign Language)","- Decision to Leave","","1 Nomination","","","","","","","","","","","","","","","","",""
"Paul Walter Hauser","https://www.goldenglobes.com/person/paul-walter-hauser","https://www.goldenglobes.com/person/paul-walter-hauser","Winner","Best Supporting Actor - Television Limited Series/Motion Picture","- Black Bird","https://www.goldenglobes.com/tv-show/black-bird","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Michelle Williams","https://www.goldenglobes.com/person/michelle-williams","https://www.goldenglobes.com/person/michelle-williams","Nominee","Best Actress - Motion Picture - Drama","- Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","7 Nominations, 2 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Abbott Elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","Winner","Best Musical/Comedy Series","","","5 Nominations, 3 Wins","","","","","","","","","","","","","","","","",""
"Janelle James","https://www.goldenglobes.com/person/janelle-james","https://www.goldenglobes.com/person/janelle-james","Nominee","Best Supporting Actress - Television Series","- Abbott Elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","1 Nomination","","","","","","","","","","","","","","","","",""
"Emma D'Arcy","https://www.goldenglobes.com/person/emma-darcy","https://www.goldenglobes.com/person/emma-darcy","Nominee","Best Television Actress - Drama Series","- House of the Dragon","https://www.goldenglobes.com/tv-show/house-dragon","1 Nomination","","","","","","","","","","","","","","","","",""
"Jennifer Coolidge","https://www.goldenglobes.com/person/jennifer-coolidge","https://www.goldenglobes.com/person/jennifer-coolidge","Winner","Best Supporting Actress - Television Limited Series/Motion Picture","- White Lotus, The","https://www.goldenglobes.com/tv-show/white-lotus","2 Nominations, 1 Win","Cast","Jennifer Coolidge,","https://www.goldenglobes.com/person/jennifer-coolidge","","Connie Britton,","https://www.goldenglobes.com/person/connie-britton","F. Murray Abraham,","https://www.goldenglobes.com/person/f-murray-abraham","Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","","","","","","",""
"Brendan Fraser","https://www.goldenglobes.com/person/brendan-fraser","https://www.goldenglobes.com/person/brendan-fraser","Nominee","Best Actor - Motion Picture - Drama","- Whale, The","https://www.goldenglobes.com/film/whale","1 Nomination","","","","","","","","","","","","","","","","",""
"Hugh Jackman","https://www.goldenglobes.com/person/hugh-jackman","https://www.goldenglobes.com/person/hugh-jackman","Nominee","Best Actor - Motion Picture - Drama","- Son, The","https://www.goldenglobes.com/film/son","4 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Bill Nighy","https://www.goldenglobes.com/person/bill-nighy","https://www.goldenglobes.com/person/bill-nighy","Nominee","Best Actor - Motion Picture - Drama","- Living","https://www.goldenglobes.com/film/living","4 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Daniel Craig","https://www.goldenglobes.com/person/daniel-craig","https://www.goldenglobes.com/person/daniel-craig","Nominee","Best Actor - Motion Picture - Musical/Comedy","- Glass Onion: A Knives Out Mystery","https://www.goldenglobes.com/film/glass-onion-knives-out-mystery","2 Nominations","Cast","Daniel Craig,","https://www.goldenglobes.com/person/daniel-craig","","Edward Norton,","https://www.goldenglobes.com/person/edward-norton","Leslie Odom Jr.,","https://www.goldenglobes.com/person/leslie-odom-jr","Kate Hudson,","https://www.goldenglobes.com/person/kate-hudson","","Ethan Hawke,","https://www.goldenglobes.com/person/ethan-hawke","Hugh Grant,","https://www.goldenglobes.com/person/hugh-grant","Stephen Sondheim,","https://www.goldenglobes.com/person/stephen-sondheim"
"Marcel the Shell with Shoes On","https://www.goldenglobes.com/film/marcel-shell-shoes","https://www.goldenglobes.com/film/marcel-shell-shoes","Nominee","Best Picture - Animated","","","1 Nomination","","","","","","","","","","","","","","","","",""
"Eddie Redmayne","https://www.goldenglobes.com/person/eddie-redmayne","https://www.goldenglobes.com/person/eddie-redmayne","Nominee","Best Supporting Actor - Motion Picture","- Good Nurse, The","https://www.goldenglobes.com/film/good-nurse","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"James Cameron","https://www.goldenglobes.com/person/james-cameron","https://www.goldenglobes.com/person/james-cameron","Nominee","Best Director - Motion Picture","- Avatar: The Way of Water","https://www.goldenglobes.com/film/avatar-way-water","4 Nominations, 2 Wins","Director","James Cameron","https://www.goldenglobes.com/person/james-cameron","Writer","James Cameron","https://www.goldenglobes.com/person/james-cameron","Sigourney Weaver,","https://www.goldenglobes.com/person/sigourney-weaver","Kate Winslet,","https://www.goldenglobes.com/person/kate-winslet","Cast","Edie Falco","https://www.goldenglobes.com/person/edie-falco","","","",""
"Sarah Polley","https://www.goldenglobes.com/person/sarah-polley","https://www.goldenglobes.com/person/sarah-polley","Nominee","Best Screenplay - Motion Picture","- Women Talking","https://www.goldenglobes.com/film/women-talking","1 Nomination","","","","","","","","","","","","","","","","",""
"Better Call Saul","https://www.goldenglobes.com/tv-show/better-call-saul","https://www.goldenglobes.com/tv-show/better-call-saul","Nominee","Best Drama Series","","","6 Nominations","Cast","Bob Odenkirk,","https://www.goldenglobes.com/person/bob-odenkirk","","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Ed Begley Jr.,","https://www.goldenglobes.com/person/ed-begley-jr","Carol Burnett,","https://www.goldenglobes.com/person/carol-burnett","","Steven Bauer,","https://www.goldenglobes.com/person/steven-bauer","Bryan Cranston,","https://www.goldenglobes.com/person/bryan-cranston","Aaron Paul","https://www.goldenglobes.com/person/aaron-paul"
"Wednesday","https://www.goldenglobes.com/tv-show/wednesday","https://www.goldenglobes.com/tv-show/wednesday","Nominee","Best Musical/Comedy Series","","","2 Nominations","","","","","","","","","","","","","","","","",""
"Donald Glover","https://www.goldenglobes.com/person/donald-glover","https://www.goldenglobes.com/person/donald-glover","Nominee","Best Television Actor - Musical/Comedy Series","- Atlanta","https://www.goldenglobes.com/tv-show/atlanta","3 Nominations, 1 Win","Cast","Donald Glover,","https://www.goldenglobes.com/person/donald-glover","","Jane Adams","https://www.goldenglobes.com/person/jane-adams","","","","","","","","","","",""
"Daisy Edgar-Jones","https://www.goldenglobes.com/person/daisy-edgar-jones","https://www.goldenglobes.com/person/daisy-edgar-jones","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- Under the Banner of Heaven","https://www.goldenglobes.com/tv-show/under-banner-heaven","2 Nominations","","","","","","","","","","","","","","","","",""
"Seth Rogen","https://www.goldenglobes.com/person/seth-rogen","https://www.goldenglobes.com/person/seth-rogen","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- Pam & Tommy","https://www.goldenglobes.com/tv-show/pam-tommy","1 Nomination","","","","","","","","","","","","","","","","",""
"Babylon","https://www.goldenglobes.com/film/babylon","https://www.goldenglobes.com/film/babylon","Nominee","Best Picture - Musical/Comedy","","","5 Nominations, 1 Win","Director","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Writer","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Margot Robbie,","https://www.goldenglobes.com/person/margot-robbie","Brad Pitt,","https://www.goldenglobes.com/person/brad-pitt","Cast","Tobey Maguire,","https://www.goldenglobes.com/person/tobey-maguire","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","Eric Roberts,","https://www.goldenglobes.com/person/eric-roberts"
"Margot Robbie","https://www.goldenglobes.com/person/margot-robbie","https://www.goldenglobes.com/person/margot-robbie","Nominee","Best Actress - Motion Picture - Musical/Comedy","- Babylon","https://www.goldenglobes.com/film/babylon","3 Nominations","Director","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Writer","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Margot Robbie,","https://www.goldenglobes.com/person/margot-robbie","Brad Pitt,","https://www.goldenglobes.com/person/brad-pitt","Cast","Tobey Maguire,","https://www.goldenglobes.com/person/tobey-maguire","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","Eric Roberts,","https://www.goldenglobes.com/person/eric-roberts"
"Diego Calva","https://www.goldenglobes.com/person/diego-calva","https://www.goldenglobes.com/person/diego-calva","Nominee","Best Actor - Motion Picture - Musical/Comedy","- Babylon","https://www.goldenglobes.com/film/babylon","1 Nomination","Director","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Writer","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Margot Robbie,","https://www.goldenglobes.com/person/margot-robbie","Brad Pitt,","https://www.goldenglobes.com/person/brad-pitt","Cast","Tobey Maguire,","https://www.goldenglobes.com/person/tobey-maguire","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","Eric Roberts,","https://www.goldenglobes.com/person/eric-roberts"
"Jamie Lee Curtis","https://www.goldenglobes.com/person/jamie-lee-curtis","https://www.goldenglobes.com/person/jamie-lee-curtis","Nominee","Best Supporting Actress - Motion Picture","- Everything Everywhere All at Once","https://www.goldenglobes.com/film/everything-everywhere-all-once","8 Nominations, 2 Wins","Director","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Writer","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Cast","Michelle Yeoh,","https://www.goldenglobes.com/person/michelle-yeoh","Ke Huy Quan,","https://www.goldenglobes.com/person/ke-huy-quan","Jamie Lee Curtis,","https://www.goldenglobes.com/person/jamie-lee-curtis"
"Elizabeth Debicki","https://www.goldenglobes.com/person/elizabeth-debicki","https://www.goldenglobes.com/person/elizabeth-debicki","Nominee","Best Supporting Actress - Television Series","- Crown, The","https://www.goldenglobes.com/tv-show/crown","1 Nomination","Cast","Helena Bonham Carter,","https://www.goldenglobes.com/person/helena-bonham-carter","","Olivia Colman,","https://www.goldenglobes.com/person/olivia-colman","Tobias Menzies,","https://www.goldenglobes.com/person/tobias-menzies","Claire Foy,","https://www.goldenglobes.com/person/claire-foy","","John Lithgow,","https://www.goldenglobes.com/person/john-lithgow","Eileen Atkins,","https://www.goldenglobes.com/person/eileen-atkins","Jared Harris,","https://www.goldenglobes.com/person/jared-harris"
"Alexandre Desplat","https://www.goldenglobes.com/person/alexandre-desplat","https://www.goldenglobes.com/person/alexandre-desplat","Nominee","Best Score - Motion Picture","- Guillermo del Toro's Pinocchio","https://www.goldenglobes.com/film/guillermo-del-toros-pinocchio","15 Nominations, 2 Wins","Director","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Writer","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Alexandre Desplat","https://www.goldenglobes.com/person/alexandre-desplat","Roeban Katz,","https://www.goldenglobes.com/person/roeban-katz","Music Score","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Ewan McGregor,","https://www.goldenglobes.com/person/ewan-mcgregor","Ron Perlman,","https://www.goldenglobes.com/person/ron-perlman"
"Everything Everywhere All at Once","https://www.goldenglobes.com/film/everything-everywhere-all-once","https://www.goldenglobes.com/film/everything-everywhere-all-once","Nominee","Best Picture - Musical/Comedy","","","6 Nominations, 2 Wins","Director","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Writer","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Cast","Michelle Yeoh,","https://www.goldenglobes.com/person/michelle-yeoh","Ke Huy Quan,","https://www.goldenglobes.com/person/ke-huy-quan","Jamie Lee Curtis,","https://www.goldenglobes.com/person/jamie-lee-curtis"
"Elvis","https://www.goldenglobes.com/film/elvis","https://www.goldenglobes.com/film/elvis","Nominee","Best Picture - Drama","","","3 Nominations, 1 Win","Director","Baz Luhrmann","https://www.goldenglobes.com/person/baz-luhrmann","Writer","Baz Luhrmann","https://www.goldenglobes.com/person/baz-luhrmann","Austin Butler,","https://www.goldenglobes.com/person/austin-butler","Tom Hanks,","https://www.goldenglobes.com/person/tom-hanks","Cast","Kodi Smit-McPhee","https://www.goldenglobes.com/person/kodi-smit-mcphee","","","",""
"Black Bird","https://www.goldenglobes.com/tv-show/black-bird","https://www.goldenglobes.com/tv-show/black-bird","Nominee","Best Limited Series, Anthology Series or Television Motion Picture","","","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Taron Egerton","https://www.goldenglobes.com/person/taron-egerton","https://www.goldenglobes.com/person/taron-egerton","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Black Bird","https://www.goldenglobes.com/tv-show/black-bird","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Julia Garner","https://www.goldenglobes.com/person/julia-garner","https://www.goldenglobes.com/person/julia-garner","Winner","Best Supporting Actress - Television Series","- Ozark","https://www.goldenglobes.com/tv-show/ozark","3 Nominations, 1 Win","Director","Jason Bateman","https://www.goldenglobes.com/person/jason-bateman","Producer","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Patrick Markey","https://www.goldenglobes.com/person/patrick-markey","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Cast","Laura Linney,","https://www.goldenglobes.com/person/laura-linney","Janet McTeer,","https://www.goldenglobes.com/person/janet-mcteer","Julia Garner","https://www.goldenglobes.com/person/julia-garner"
"Cate Blanchett","https://www.goldenglobes.com/person/cate-blanchett","https://www.goldenglobes.com/person/cate-blanchett","Winner","Best Actress - Motion Picture - Drama","- TÁR","https://www.goldenglobes.com/film/tar","12 Nominations, 4 Wins","Director","Todd Field","https://www.goldenglobes.com/person/todd-field","Writer","Todd Field","https://www.goldenglobes.com/person/todd-field","Cate Blanchett,","https://www.goldenglobes.com/person/cate-blanchett","Alec Baldwin","https://www.goldenglobes.com/person/alec-baldwin","Cast","","","","","",""
"Julia Garner","https://www.goldenglobes.com/person/julia-garner","https://www.goldenglobes.com/person/julia-garner","Nominee","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Inventing Anna","https://www.goldenglobes.com/tv-show/inventing-anna","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Naatu Naatu","","","Winner","Best Song - Motion Picture","- RRR","https://www.goldenglobes.com/film/rrr","1 Nomination, 1 Win","Music Score","M.M. Keeravaani","https://www.goldenglobes.com/person/mm-keeravaani","Lyrics","Chandrabose","https://www.goldenglobes.com/person/chandrabose","","","","","","","","","","",""
"Amanda Seyfried","https://www.goldenglobes.com/person/amanda-seyfried","https://www.goldenglobes.com/person/amanda-seyfried","Winner","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Dropout, The","https://www.goldenglobes.com/tv-show/dropout","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Angela Bassett","https://www.goldenglobes.com/person/angela-bassett","https://www.goldenglobes.com/person/angela-bassett","Winner","Best Supporting Actress - Motion Picture","- Black Panther: Wakanda Forever","https://www.goldenglobes.com/film/black-panther-wakanda-forever","2 Nominations, 2 Wins","","","","","","","","","","","","","","","","",""
"Jeremy Allen White","https://www.goldenglobes.com/person/jeremy-allen-white","https://www.goldenglobes.com/person/jeremy-allen-white","Winner","Best Television Actor - Musical/Comedy Series","- Bear, The","https://www.goldenglobes.com/tv-show/bear","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Niecy Nash-Betts","https://www.goldenglobes.com/person/niecy-nash-betts","https://www.goldenglobes.com/person/niecy-nash-betts","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- Dahmer - Monster: The Jeffrey Dahmer Story","https://www.goldenglobes.com/tv-show/dahmer-monster-jeffrey-dahmer-story","1 Nomination","","","","","","","","","","","","","","","","",""
"Richard Jenkins","https://www.goldenglobes.com/person/richard-jenkins","https://www.goldenglobes.com/person/richard-jenkins","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- Dahmer - Monster: The Jeffrey Dahmer Story","https://www.goldenglobes.com/tv-show/dahmer-monster-jeffrey-dahmer-story","2 Nominations","","","","","","","","","","","","","","","","",""
"Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","https://www.goldenglobes.com/person/steven-spielberg","Nominee","Best Screenplay - Motion Picture","- Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","20 Nominations, 4 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","https://www.goldenglobes.com/film/banshees-inisherin","Winner","Best Picture - Musical/Comedy","","","8 Nominations, 3 Wins","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"Brendan Gleeson","https://www.goldenglobes.com/person/brendan-gleeson","https://www.goldenglobes.com/person/brendan-gleeson","Nominee","Best Supporting Actor - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","5 Nominations","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"F. Murray Abraham","https://www.goldenglobes.com/person/f-murray-abraham","https://www.goldenglobes.com/person/f-murray-abraham","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- White Lotus, The","https://www.goldenglobes.com/tv-show/white-lotus","2 Nominations, 1 Win","Cast","Jennifer Coolidge,","https://www.goldenglobes.com/person/jennifer-coolidge","","Connie Britton,","https://www.goldenglobes.com/person/connie-britton","F. Murray Abraham,","https://www.goldenglobes.com/person/f-murray-abraham","Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","","","","","","",""
"Eddie Murphy","https://www.goldenglobes.com/person/eddie-murphy","https://www.goldenglobes.com/person/eddie-murphy","Winner","Cecil B. deMille Award","-","","6 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Top Gun: Maverick","https://www.goldenglobes.com/film/top-gun-maverick","https://www.goldenglobes.com/film/top-gun-maverick","Nominee","Best Picture - Drama","","","2 Nominations","Writer","Eric Warren Singer","https://www.goldenglobes.com/person/eric-warren-singer","Cast","Tom Cruise,","https://www.goldenglobes.com/person/tom-cruise","Jennifer Connelly,","https://www.goldenglobes.com/person/jennifer-connelly","Jon Hamm,","https://www.goldenglobes.com/person/jon-hamm","","Ed Harris","https://www.goldenglobes.com/person/ed-harris","","","",""
"Turning Red","https://www.goldenglobes.com/film/turning-red","https://www.goldenglobes.com/film/turning-red","Nominee","Best Picture - Animated","","","1 Nomination","","","","","","","","","","","","","","","","",""
"Close","","https://www.goldenglobes.com/film/close","Nominee","Best Picture - Non-English Language (formerly Foreign Language)","- Close","","1 Nomination","","","","","","","","","","","","","","","","",""
"Carey Mulligan","https://www.goldenglobes.com/person/carey-mulligan","https://www.goldenglobes.com/person/carey-mulligan","Nominee","Best Supporting Actress - Motion Picture","- She Said","https://www.goldenglobes.com/film/she-said","3 Nominations","","","","","","","","","","","","","","","","",""
"Hildur Guðnadóttir","https://www.goldenglobes.com/person/hildur-gudnadottir","https://www.goldenglobes.com/person/hildur-gudnadottir","Nominee","Best Score - Motion Picture","- Women Talking","https://www.goldenglobes.com/film/women-talking","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Carolina","","","Nominee","Best Song - Motion Picture","- Where the Crawdads Sing","https://www.goldenglobes.com/film/where-crawdads-sing","1 Nomination","","","","","","","","","","","","","","","","",""
"Hold My Hand","","","Nominee","Best Song - Motion Picture","- Top Gun: Maverick","https://www.goldenglobes.com/film/top-gun-maverick","1 Nomination","Writer","Eric Warren Singer","https://www.goldenglobes.com/person/eric-warren-singer","Cast","Tom Cruise,","https://www.goldenglobes.com/person/tom-cruise","Jennifer Connelly,","https://www.goldenglobes.com/person/jennifer-connelly","Jon Hamm,","https://www.goldenglobes.com/person/jon-hamm","","Ed Harris","https://www.goldenglobes.com/person/ed-harris","","","",""
"Colin Firth","https://www.goldenglobes.com/person/colin-firth","https://www.goldenglobes.com/person/colin-firth","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Staircase, The","https://www.goldenglobes.com/tv-show/staircase","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Claire Danes","https://www.goldenglobes.com/person/claire-danes","https://www.goldenglobes.com/person/claire-danes","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- Fleishman Is in Trouble","https://www.goldenglobes.com/tv-show/fleishman-trouble","6 Nominations, 4 Wins","","","","","","","","","","","","","","","","",""
"Julia Roberts","https://www.goldenglobes.com/person/julia-roberts","https://www.goldenglobes.com/person/julia-roberts","Nominee","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Gaslit","https://www.goldenglobes.com/tv-show/gaslit","10 Nominations, 3 Wins","","","","","","","","","","","","","","","","",""
"Sebastian Stan","https://www.goldenglobes.com/person/sebastian-stan","https://www.goldenglobes.com/person/sebastian-stan","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Pam & Tommy","https://www.goldenglobes.com/tv-show/pam-tommy","1 Nomination","","","","","","","","","","","","","","","","",""
